75819	NationalGeographic AnimalPlanet	Discovery TNT
7818	Bravo NBC ABC	CBS AMC CMT FOX
19388	CBS TNT AMC FXX ABC	TBS SpikeTV ComedyCentral FOX visit
23114	NBC FOX	CBS ESPN truTV
1368	ABC	CBS SpikeTV
56279	ESPN ABC CBS	FOX History NBC visit
57125	truTV AnimalPlanet CMT FX	Discovery SpikeTV NationalGeographic Bravo visit
37900	FoxDeportes AMC	CartoonNetwork NBCUniverso visit
61973	NBC	ABC CBS
56692	CBS	CBS
9938	visit	visit
73166	Discovery	FOX USANetwork
41410	visit	visit
64189	Discovery NBC FOX	AMC AnimalPlanet FoxSports1 SpikeTV
52998	NBC CBS	NationalGeographic visit
9179	CartoonNetwork Nickelodeon	NBC SpikeTV
36575	web	visit
83899	CBS NBC TBS SpikeTV	A&E TNT History FOX
72869	NBC CBS ABC truTV	CW TNT AMC FOX
11204	BET A&E SpikeTV CBS	VH1 FX TLC ESPN FOX
66242	visit	visit
9831	TNT ESPN FOX	ABC USANetwork CW
67363	TBS	TBS
52736	CBS	Bravo ABC
33884	Bravo TBS CartoonNetwork	FXX E! CBS ABC
24974	visit	visit
79964	visit	visit
1613	CBS FOX ABC	USANetwork NBC A&E visit
63647	NBC CBS SpikeTV	FOX ABC Bravo
65864	TVLand ABC History Nickelodeon CBS	CW AMC NationalGeographic CartoonNetwork NBC FOX
72235	NBC ABC	CBS FOX
80831	web	web
78214	CartoonNetwork	TNT ESPN
80100	ABC	NBC CBS
53781	TNT ABC NBC	VH1 BET ESPN
44446	visit	visit
2493	CBS Nickelodeon VH1	ABC BET Bravo
72789	TLC ABC USANetwork	E! web TNT visit
17485	CBS	AMC NBC
26705	CartoonNetwork TBS FXX AMC	FoxSports1 FOX ABC A&E ComedyCentral
79136	web	web
53474	FX MTV2 ABC	ESPN CartoonNetwork ESPN2
43766	visit	visit
65196	Discovery	SpikeTV FoxSports1
10682	visit	visit
16592	TNT AnimalPlanet	FOX ABC
15381	NBC TNT	CBS ABC visit
49326	NBC	ABC CBS
13031	CBS	AnimalPlanet AMC
14388	CBS	ABC NBC
35238	ABC CBS	A&E NBC
65332	ABC Nickelodeon	Discovery CBS E!
61082	Freeform NBC AnimalPlanet TNT	USANetwork Discovery CBS CartoonNetwork TLC
62293	ABC	ABC
44874	CBS web Discovery NBC ABC A&E	Bravo FX TBS Nickelodeon FOX USANetwork
71851	visit	visit
51808	CBS ABC Bravo	FOX TNT USANetwork Freeform
50946	ESPN	ESPN
7236	CBS	NBC ABC
42558	ComedyCentral CBS FOX	FX USANetwork SpikeTV TBS
56753	VH1	CBS
24097	CW NBC Discovery	TBS CBS CartoonNetwork
46834	FOX	FOX
1826	ABC NBC web	History ESPN FoxSports1
32288	NBC SpikeTV AMC	CBS ESPN2 Discovery ESPN
25169	web	TNT SpikeTV
10884	FOX	ABC visit
14568	ComedyCentral	truTV Freeform
36472	TBS NBCSportsNetwork truTV	TNT AMC ESPN
12253	visit	visit
24264	AMC ABC	ESPN visit
20103	NBC	ABC visit
6510	visit	visit
20621	NBC ABC	ESPN visit
54084	SpikeTV	ComedyCentral visit
28192	NBC FXX	TNT AMC FX
36164	CBS NBC History	CW ABC FX TLC
32675	FOX FX ABC CBS	NBC History TNT SpikeTV
60435	AMC	USANetwork
30861	NBC	ABC visit
37359	TBS	History
34420	ABC NBC	CBS FoxSports1 FOX
71610	visit	visit
23289	FOX	Bravo ABC
34087	AnimalPlanet	AnimalPlanet
49739	visit	visit
29041	CW	FXX FOX
60055	ABC Nickelodeon FOX	FX ComedyCentral NBC FXX
32278	MTV NBC FOX ABC	NationalGeographic AMC Discovery CMT
11388	FOX CBS web	NBC Discovery visit
66028	NBC FOX USANetwork FX	CW ABC truTV Nickelodeon CBS
69217	CBS NBCSportsNetwork TNT	FOX FX NBC
65445	visit	visit
35789	visit	visit
53101	ESPN VH1 CBS	FXX MTV2 ABC Telemundo(National)
22637	visit	visit
69790	NBC VH1 CBS FOX	Bravo SpikeTV CartoonNetwork TNT ABC
69019	ESPN A&E	NBC CBS NationalGeographic
8351	NBC FOX	ABC visit
5073	FOX	Nickelodeon NBC
10417	CW	NBC CBS
35582	ABC	TNT
32955	TLC Bravo	CBS NBC E!
64772	CartoonNetwork TBS ABC	CBS USANetwork FOX
12125	ABC Discovery NBC AMC	FOX FX CBS visit
5654	CBS	FOX History
42999	CartoonNetwork Discovery	ABC FOX
26116	FOX E!	Discovery AMC
31812	NBC CBS	ESPN truTV
64795	ABC	TLC Freeform
8274	CBS FOX	TBS History TNT
22545	CW ABC	CBS FoxSports1
63688	NBC	NBC
65491	visit	visit
72053	FOX USANetwork BET NBCUniverso	TNT AMC FX NBC
62908	ABC NBC	truTV visit
7237	NBC MTV	CartoonNetwork Discovery ABC
7188	FoxSports1 NBC	ABC FOX
50975	visit	visit
40448	Bravo ABC	CBS ESPN NBC
76010	truTV History VH1 MTV2	MTV ABC A&E CBS
26964	CBS Nickelodeon ESPN	FOX ABC visit
19467	TLC truTV	ABC CMT Nickelodeon
18853	FOX CBS	CW NBC visit
36177	ABC CBS	NBC USANetwork
22643	ABC	E! NBC
56196	visit	visit
80894	NationalGeographic AMC	NBC ABC
35524	Discovery	NBC AMC
66149	FOX	CBS E!
987	ESPN	CBS NationalGeographic
67421	NBC A&E	AnimalPlanet FXX
53670	CBS NBC	ABC visit
50192	VH1 Bravo	AMC BET
52142	visit	visit
38243	FX	TNT
32184	SpikeTV	NBCUniverso visit
37710	History NBC	AnimalPlanet NationalGeographic
22623	NBC TNT	ABC visit
5263	visit	visit
68949	visit	visit
61202	NBC TNT MTV2 ComedyCentral	MTV SpikeTV CBS ABC TBS
9213	CW NBC CBS TNT	Bravo MTV2 USANetwork ABC FOX
41396	CBS CartoonNetwork CW	AMC ComedyCentral visit
61899	web	visit
40520	Nickelodeon	Nickelodeon
47445	CBS TNT History SpikeTV NationalGeographic NBC Nickelodeon AMC FX	MTV CW truTV FoxSports1 USANetwork ComedyCentral Freeform FOX TLC FXX
11679	Discovery NBC	CBS TNT
72782	FOX ESPN	ABC CBS
34269	NBC	ABC visit
41869	NBC CBS	ESPN2 ESPN ABC
55946	NBC CBS	FOX AMC USANetwork
43475	FOX CBS ESPN TBS	ESPN2 NBC truTV visit
40144	NBC	CBS
20136	web SpikeTV	CBS FOX
59742	AMC	ABC E!
5691	CBS TNT	NBC visit
35884	NBC FOX	ABC E!
8133	Discovery	SpikeTV
9118	visit	visit
45723	CartoonNetwork	ABC
18331	ABC USANetwork NBC	TNT FOX CartoonNetwork visit
53276	web	web
81872	CBS ABC	NBC FOX
11767	A&E FoxSports1 AnimalPlanet	NBC CBS FOX CMT
10466	visit	visit
80930	FOX CBS	FXX Bravo AMC
36082	A&E CBS	FOX ABC
25096	TNT	USANetwork
82300	CBS	TNT
70150	AMC TNT	NBC visit
18537	TVLand CBS ABC	TLC TNT Univision(National) E!
63806	FOX CBS AMC	FoxSports1 ABC ComedyCentral History
38746	TLC FOX	NBC VH1
34726	TBS CartoonNetwork Nickelodeon MTV2	Freeform truTV CW MTV USANetwork
